"","speaker","filename","syllno","syll","tapper","p","PA","totalnsyll","DrumID","DrumTime","DrumVeloc","DrumDur","drumtimediff","corr","sylldur","prepausal","postpausal","f0meanhz","f0meanst","f0rangehz","f0rangest","f0maxhz","f0maxst","intens","seglabel","segdur","f0meanhz_v","f0meanst_v","f0rangehz_v","f0rangest_v","f0maxHz_v","f0maxst_v","intens_v","h1h2","cpps","slope","text","nsyll","ambsyll","nonlex","ip.initial","ip.final","turn","UI","DrumVeloc.log.sc","DrumDur.log.sc","DrumVeloc.sc","DrumDur.sc"
"1","B","B-A_left_0067",1,"da:","CD","prom","unaccented",8,1,1.112,67,87,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 CD",1.24583375697807,1.24345596105234,1.32841569149136,1.65816835720794
"2","B","B-A_left_0067",1,"da:","SD","prom","unaccented",8,1,0.308,64,47,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 SD",0.396756726669646,-1.33093608746902,0.270030862433661,-1.14425780261233
"3","B","B-A_left_0067",1,"da:","MS","not prom","unaccented",8,1,0,127,163,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 MS",1.52895914106741,0.36225500929592,1.78442954302532,0.185086476151231
"4","B","B-A_left_0067",1,"da:","ZE","not prom","unaccented",8,1,2.8,75,90,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 ZE",0.699452138057305,-0.292486381231089,0.578770203758646,-0.399519863411807
"5","B","B-A_left_0067",1,"da:","LK","not prom","unaccented",8,1,3.896,42,347,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 LK",-1.73816478699889,0.662225661278452,-1.55077836124551,0.530176401017099
"6","B","B-A_left_0067",1,"da:","RU","not prom","unaccented",8,1,0,61,74,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 RU",-0.00790218397228245,-0.959879620218711,-0.10267506354855,-0.954381146866374
"7","B","B-A_left_0067",1,"da:","DH","not prom","unaccented",8,1,2.695,50,122,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 DH",-0.438191594116146,0.661561939840151,-0.44722924227777,0.454627394298094
"8","B","B-A_left_0067",1,"da:","ZL","prom","unaccented",8,1,3.434,46,180,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 ZL",-0.215002193794939,0.756163221392229,-0.258223985620258,0.553021745625287
"9","B","B-A_left_0067",1,"da:","FS","prom","unaccented",8,1,0.594,46,108,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 FS",-0.191142589992837,0.819317295315964,-0.258701267119172,0.940417100308947
"10","B","B-A_left_0067",1,"da:","JV","prom","unaccented",8,1,3.205,47,198,0,"n",0.119,0,1,"196.493","91.399","37.275","3.370","210.746","92.633",67.426,"a:",0.059,"196.493","91.399","37.275","3.370","210.746","92.633","70.155","6.462",10.005,-25.496,"dafür habt ihr geile Berge",8,"n","n","initial","non-final","initial","B-A_left_0067 JV",-1.29040713988789,0.830596055109273,-1.13681801273496,0.764368742827868
