filename,speaker,syllno,syll,sylldur,prepausal,postpausal,f0meanhz,f0meanst,f0rangehz,f0rangest,f0maxhz,f0maxst,intens,seglabel,segdur,f0meanhz_v,f0meanst_v,f0rangehz_v,f0rangest_v,f0rangest_v_abs,f0maxHz_v,f0maxst_v,intens_v,h1h2,cpps,slope
mono_B-A_left_0067,B,1,da:,0.119,0,1,196.493,91.399,37.275,3.370,210.746,92.633,67.426,a:,0.059,196.493,91.399,37.275,3.370,--undefined--,210.746,92.633,70.155,6.462,10.005,-25.496
mono_B-A_left_0067,B,2,fy:6,0.150,0,0,206.931,92.298,43.161,3.848,216.632,93.110,67.495,y:6,0.049,208.923,92.478,15.601,1.295,--undefined--,216.632,93.110,70.742,0.332,13.030,-23.960
mono_B-A_left_0067,B,3,ha:pt,0.209,0,0,196.352,91.406,9.538,0.841,201.031,91.815,66.472,a:,0.050,197.075,91.470,7.382,0.650,0.557,200.412,91.762,70.240,6.641,11.605,-28.090
mono_B-A_left_0067,B,4,i:6,0.061,0,0,188.255,90.664,25.015,2.336,197.958,91.549,66.115,i:6,0.061,188.255,90.664,25.015,2.336,--undefined--,197.958,91.549,66.115,-2.736,7.846,-23.885
mono_B-A_left_0067,B,5,gaI,0.160,0,0,184.882,90.296,71.807,6.098,239.266,94.830,64.822,aI,0.110,182.690,90.118,65.549,5.639,-3.789,233.008,94.371,66.224,3.297,18.005,-20.842
mono_B-A_left_0067,B,6,l@,0.090,0,0,185.195,90.384,32.611,3.049,201.831,91.901,64.265,@,0.040,186.433,90.505,14.129,1.323,--undefined--,193.097,91.124,65.562,1.546,9.489,-26.156
mono_B-A_left_0067,B,7,bE6,0.308,0,0,179.398,89.828,44.091,4.214,205.450,92.224,63.256,E6,0.228,180.334,89.925,21.407,2.070,-0.330,189.923,90.831,64.236,8.837,7.293,-21.837
mono_B-A_left_0067,B,8,g@,0.089,1,0,173.968,89.306,16.467,1.639,182.216,90.114,62.144,@,0.057,170.872,88.998,9.383,0.954,--undefined--,175.132,89.428,62.831,6.896,14.350,-28.496
mono_B-A_left_0081,B,1,a:,0.048,0,1,195.777,91.348,19.484,1.723,205.742,92.216,68.407,a:,0.048,195.777,91.348,19.484,1.723,--undefined--,205.742,92.216,68.407,0.066,15.908,-22.201
mono_B-A_left_0081,B,2,b6,0.056,0,0,186.345,90.501,8.521,0.793,190.360,90.871,65.884,6,0.026,188.314,90.683,5.072,0.468,0.394,190.360,90.871,67.226,0.302,15.843,-27.373
mono_B-A_left_0081,B,3,IC,0.112,0,0,185.546,90.416,21.445,2.062,190.947,90.924,63.330,I,0.040,187.287,90.584,16.912,1.613,-1.017,190.947,90.924,67.350,5.361,12.160,-32.481
mono_B-A_left_0081,B,4,ha:p,0.113,0,0,200.821,91.782,27.245,2.304,218.659,93.271,63.498,a:,0.045,199.180,91.645,25.328,2.150,-1.736,216.742,93.116,66.889,7.031,13.212,-32.041
mono_B-A_left_0081,B,5,e:6st,0.179,0,0,181.086,89.936,51.913,5.126,203.131,92.012,60.492,e:6,0.099,182.707,90.084,51.913,5.126,--undefined--,203.131,92.012,62.405,4.841,4.695,-21.964
mono_B-A_left_0081,B,6,nOY,0.140,0,0,190.593,90.837,66.959,5.476,246.927,95.375,65.652,OY,0.100,182.833,90.170,11.197,1.045,-0.681,191.165,90.944,66.738,8.571,16.694,-22.792
mono_B-A_left_0081,B,7,lIC,0.117,0,0,193.812,91.153,34.419,3.039,213.668,92.871,63.014,I,0.030,202.900,91.952,31.549,2.767,1.933,213.668,92.871,65.321,6.417,4.942,-29.563
mono_B-A_left_0081,B,8,b@,0.093,0,0,192.511,91.022,41.035,3.640,216.434,93.093,60.308,@,0.025,192.511,91.022,41.035,3.640,-2.964,216.434,93.093,63.714,-1.196,9.568,-23.818
mono_B-A_left_0081,B,9,gRI,0.200,0,0,196.326,91.381,33.591,3.061,207.300,92.347,60.996,I,0.072,200.509,91.763,19.445,1.705,0.852,207.300,92.347,64.498,2.781,14.261,-29.215
mono_B-A_left_0081,B,10,fn,0.150,1,0,214.756,92.910,59.107,4.457,260.408,96.296,59.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-A_left_0173,B,1,o:,0.049,0,1,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.308,o:,0.049,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,64.308,--undefined--,9.680,-23.436
mono_B-A_left_0173,B,2,d6,0.092,0,0,203.890,92.051,23.342,2.001,213.614,92.866,74.048,6,0.066,205.087,92.154,20.259,1.726,1.374,213.614,92.866,75.053,-1.337,13.521,-31.696
mono_B-A_left_0173,B,3,di:,0.092,0,0,204.508,92.102,19.930,1.684,215.015,92.980,70.238,i:,0.052,208.671,92.456,16.966,1.423,-0.169,215.015,92.980,71.248,6.670,11.518,-35.328
mono_B-A_left_0173,B,4,lOY,0.135,0,0,210.388,92.597,21.143,1.756,219.034,93.300,71.702,OY,0.089,213.219,92.833,8.437,0.680,-0.605,219.034,93.300,72.043,1.482,15.577,-22.844
mono_B-A_left_0173,B,5,t@,0.077,0,0,227.333,93.926,35.251,2.726,242.090,95.034,63.872,@,0.020,227.573,93.937,35.251,2.726,-1.190,242.090,95.034,68.584,4.482,10.792,-28.906
mono_B-A_left_0173,B,6,di:,0.085,0,0,202.989,91.951,45.236,3.965,221.647,93.549,63.294,i:,0.036,213.421,92.845,16.345,1.347,0.057,218.240,93.237,65.427,11.923,7.455,-31.871
mono_B-A_left_0173,B,7,fOm,0.174,0,0,221.182,93.451,42.775,3.322,245.319,95.266,64.317,O,0.040,232.965,94.360,18.734,1.380,--undefined--,245.319,95.266,66.560,17.718,7.759,-35.901
mono_B-A_left_0173,B,8,lant,0.270,0,0,182.049,90.086,29.056,2.680,202.544,91.945,65.951,a,0.120,179.282,89.825,17.156,1.628,-1.269,191.130,90.941,68.233,7.050,18.953,-16.946
mono_B-A_left_0173,B,9,kO,0.233,0,0,192.100,91.012,27.357,2.474,205.160,92.182,60.190,O,0.113,192.100,91.012,27.357,2.474,--undefined--,205.160,92.182,63.046,10.685,7.058,-20.798
mono_B-A_left_0173,B,10,mn,0.247,1,0,181.289,90.011,26.880,2.591,193.555,91.162,58.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-A_left_0309,B,1,dan,0.140,0,1,189.760,90.794,36.915,3.256,215.275,93.000,68.984,a,0.042,191.285,90.929,36.603,3.231,-2.900,214.963,92.975,71.683,2.768,12.631,-21.595
mono_B-A_left_0309,B,2,laUf,0.180,0,0,184.300,90.298,21.672,2.009,197.816,91.536,70.767,aU,0.090,184.016,90.272,21.562,1.998,1.021,197.816,91.536,72.591,1.864,20.159,-15.966
mono_B-A_left_0309,B,3,dOx,0.136,0,0,267.710,96.667,111.267,6.937,337.120,100.765,66.831,O,0.039,282.787,97.697,63.501,3.762,-2.057,324.673,100.108,70.158,-1.555,12.335,-22.572
mono_B-A_left_0309,B,4,ma:,0.164,0,0,209.640,92.512,44.866,3.790,228.490,94.032,68.969,a:,0.090,199.950,91.710,32.711,2.841,-2.081,216.334,93.082,68.910,11.519,16.154,-22.407
mono_B-A_left_0309,B,5,n,0.041,0,0,190.629,90.889,22.542,2.059,200.946,91.814,60.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-A_left_0309,B,6,aI,0.069,0,0,186.473,90.513,13.431,1.252,193.055,91.116,64.443,aI,0.069,186.473,90.513,13.431,1.252,-0.301,193.055,91.116,64.443,9.773,19.771,-15.441
mono_B-A_left_0309,B,7,n@,0.080,0,0,182.202,90.111,11.298,1.085,186.544,90.523,63.749,@,0.030,182.294,90.119,10.133,0.974,-0.509,185.379,90.412,65.062,9.255,12.977,-26.017
mono_B-A_left_0309,B,8,RaIn,0.300,1,0,204.220,91.941,78.433,6.835,240.438,94.914,63.031,aI,0.110,193.724,91.131,51.272,4.518,3.835,223.204,93.626,64.925,6.815,18.791,-18.623
mono_B-A_left_0366,B,1,zOn,0.230,0,1,217.550,93.174,31.454,2.462,237.207,94.680,66.252,O,0.059,218.441,93.238,31.454,2.462,--undefined--,237.207,94.680,68.117,7.119,9.270,-15.914
mono_B-A_left_0366,B,2,d6n,0.143,0,0,216.934,93.128,28.227,2.358,221.771,93.515,72.262,6,0.070,217.684,93.193,8.568,0.690,-0.200,220.204,93.392,73.063,7.492,19.262,-16.322
mono_B-A_left_0366,B,3,de:6,0.175,0,0,213.909,92.868,53.932,4.353,242.608,95.070,74.118,e:6,0.139,215.425,92.996,36.947,2.859,--undefined--,242.608,95.070,75.061,3.009,20.799,-15.372
mono_B-A_left_0366,B,4,ap,0.134,0,0,202.605,91.942,23.034,1.909,220.620,93.425,68.922,a,0.071,220.620,93.425,0,0,--undefined--,220.620,93.425,71.266,--undefined--,10.095,-14.374
mono_B-A_left_0366,B,5,Stant,0.168,0,0,198.264,91.574,7.523,0.658,201.790,91.881,64.980,a,0.015,198.817,91.622,5.442,0.474,--undefined--,201.790,91.881,68.323,9.028,9.781,-23.093
