filename,tapper,speaker,syllno,syll,p,PA
mono_B-A_left_0067,P1,B,1,da:,p,
mono_B-A_left_0067,P1,B,2,fy:6,,
mono_B-A_left_0067,P1,B,3,ha:pt,,
mono_B-A_left_0067,P1,B,4,i:6,,
mono_B-A_left_0067,P1,B,5,gaI,p,
mono_B-A_left_0067,P1,B,6,l@,,
mono_B-A_left_0067,P1,B,7,bE6,p,PA
mono_B-A_left_0067,P1,B,8,g@,,
mono_B-A_left_0081,P1,B,1,a:,,
mono_B-A_left_0081,P1,B,2,b6,,
mono_B-A_left_0081,P1,B,3,IC,,
mono_B-A_left_0081,P1,B,4,ha:p,,
mono_B-A_left_0081,P1,B,5,e:6st,,
mono_B-A_left_0081,P1,B,6,nOY,p,PA
mono_B-A_left_0081,P1,B,7,lIC,,
mono_B-A_left_0081,P1,B,8,b@,,
mono_B-A_left_0081,P1,B,9,gRI,p,PA
mono_B-A_left_0081,P1,B,10,fn,,
mono_B-A_left_0173,P1,B,1,o:,p,
mono_B-A_left_0173,P1,B,2,d6,,
mono_B-A_left_0173,P1,B,3,di:,,
mono_B-A_left_0173,P1,B,4,lOY,,
mono_B-A_left_0173,P1,B,5,t@,,
mono_B-A_left_0173,P1,B,6,di:,,
mono_B-A_left_0173,P1,B,7,fOm,,
mono_B-A_left_0173,P1,B,8,lant,p,PA
mono_B-A_left_0173,P1,B,9,kO,,
mono_B-A_left_0173,P1,B,10,mn,,
mono_B-A_left_0309,P1,B,1,dan,,
mono_B-A_left_0309,P1,B,2,laUf,p,PA
mono_B-A_left_0309,P1,B,3,dOx,,
mono_B-A_left_0309,P1,B,4,ma:,,
mono_B-A_left_0309,P1,B,5,n,,
mono_B-A_left_0309,P1,B,6,aI,p,
mono_B-A_left_0309,P1,B,7,n@,,
mono_B-A_left_0309,P1,B,8,RaIn,,PA
mono_B-A_left_0366,P1,B,1,zOn,p,PA
mono_B-A_left_0366,P1,B,2,d6n,,
mono_B-A_left_0366,P1,B,3,de:6,,
mono_B-A_left_0366,P1,B,4,ap,p,PA
mono_B-A_left_0366,P1,B,5,Stant,,
mono_B-A_left_0366,P1,B,6,da:,,
mono_B-A_left_0366,P1,B,7,tsvI,,
mono_B-A_left_0366,P1,B,8,S@n,,
mono_B-M_left_0300,P1,B,1,ha:p,,
mono_B-M_left_0300,P1,B,2,da:,,
mono_B-M_left_0300,P1,B,3,jEts,,
mono_B-M_left_0300,P1,B,4,fi:6,p,
mono_B-M_left_0300,P1,B,5,ja:,p,PA
mono_B-M_left_0300,P1,B,6,R@,,
mono_B-M_left_0300,P1,B,7,Stu:,,
mono_B-M_left_0300,P1,B,8,di:6t,,PA
mono_B-M_left_0355,P1,B,1,a:,,
mono_B-M_left_0355,P1,B,2,b6,,
mono_B-M_left_0355,P1,B,3,s,,
mono_B-M_left_0355,P1,B,4,lE6nt,p,PA
mono_B-M_left_0355,P1,B,5,zIC,,
mono_B-M_left_0355,P1,B,6,tsu:,,
mono_B-M_left_0355,P1,B,7,mIn,,
mono_B-M_left_0355,P1,B,8,d@st,,
mono_B-M_left_0355,P1,B,9,laICt,p,PA
mono_B-M_left_0381,P1,B,1,Unt,,
mono_B-M_left_0381,P1,B,2,di:,p,PA
mono_B-M_left_0381,P1,B,3,vI6t,,
mono_B-M_left_0381,P1,B,4,jEts,,
mono_B-M_left_0381,P1,B,5,nOx,,
mono_B-M_left_0381,P1,B,6,ma:l,p,PA
mono_B-M_left_0381,P1,B,7,g@,,
mono_B-M_left_0381,P1,B,8,kY6tst,,
mono_B-M_left_0404,P1,B,1,d6,,PA
mono_B-M_left_0404,P1,B,2,nu:6,p,PA
mono_B-M_left_0404,P1,B,3,fOn,,
mono_B-M_left_0404,P1,B,4,g@,,
mono_B-M_left_0404,P1,B,5,mE,p,PA
mono_B-M_left_0404,P1,B,6,ts@l,,
mono_B-M_left_0404,P1,B,7,Un,,
mono_B-M_left_0404,P1,B,8,Slaxt,p,PA
mono_B-M_left_0404,P1,B,9,han,,
mono_B-M_left_0404,P1,B,10,d@lt,,
mono_B-M_left_0468,P1,B,1,vi:,p,PA
mono_B-M_left_0468,P1,B,2,de:,,
mono_B-M_left_0468,P1,B,3,o:,,
mono_B-M_left_0468,P1,B,4,aUx,p,
mono_B-M_left_0468,P1,B,5,y:,,
mono_B-M_left_0468,P1,B,6,b6,,
mono_B-M_left_0468,P1,B,7,haUpt,p,PA
mono_B-M_left_0468,P1,B,8,nIC,,
mono_B-M_left_0500,P1,B,1,by:,p,PA
mono_B-M_left_0500,P1,B,2,n,,
mono_B-M_left_0500,P1,B,3,tEC,,
mono_B-M_left_0500,P1,B,4,nIk,,
mono_B-M_left_0500,P1,B,5,a:,,
mono_B-M_left_0500,P1,B,6,ge:,p,PA
mono_B-M_left_0500,P1,B,7,vas,,
mono_B-M_left_0500,P1,B,8,maxt,p,PA
mono_B-M_left_0500,P1,B,9,man,,
mono_B-M_left_0500,P1,B,10,da,,
mono_B-M_left_0578,P1,B,1,a,p,
mono_B-M_left_0578,P1,B,2,zo:,,
mono_B-M_left_0578,P1,B,3,d@s,,
mono_B-M_left_0578,P1,B,4,Is,,
mono_B-M_left_0578,P1,B,5,fi:l,p,
mono_B-M_left_0578,P1,B,6,Su:,,PA
mono_B-M_left_0578,P1,B,7,lI,,
mono_B-M_left_0578,P1,B,8,S6,,
mono_B-M_left_0578,P1,B,9,ja,p,
mono_B-M_left_0608,P1,B,1,mi:6,p,
mono_B-M_left_0608,P1,B,2,va:6,,
mono_B-M_left_0608,P1,B,3,d6,,
mono_B-M_left_0608,P1,B,4,g@,,
mono_B-M_left_0608,P1,B,5,daN,p,PA
mono_B-M_left_0608,P1,B,6,k@,,
mono_B-M_left_0608,P1,B,7,zo:,,
mono_B-M_left_0608,P1,B,8,vaIt,,
mono_B-M_left_0608,P1,B,9,vEk,p,PA
mono_B-M_left_0783,P1,B,1,a,,
mono_B-M_left_0783,P1,B,2,zo:,,
mono_B-M_left_0783,P1,B,3,IC,p,PA
mono_B-M_left_0783,P1,B,4,k9n,,
mono_B-M_left_0783,P1,B,5,t@,,
mono_B-M_left_0783,P1,B,6,da:,,
mono_B-M_left_0783,P1,B,7,jEts,,
mono_B-M_left_0783,P1,B,8,nIC,p,
mono_B-M_left_0783,P1,B,9,hIn,,PA
mono_B-M_left_0783,P1,B,10,ge:n,,
mono_B-M_left_0956,P1,B,1,m,,
mono_B-M_left_0956,P1,B,2,hm,,PA
mono_B-M_left_0956,P1,B,3,RaI,p,PA
mono_B-M_left_0956,P1,B,4,t@n,,
mono_B-M_left_0956,P1,B,5,ge:,,PA
mono_B-M_left_0956,P1,B,6,n@,,
mono_B-M_left_0956,P1,B,7,REl,p,
mono_B-M_left_0956,P1,B,8,maInst,,
mono_B-M_left_0956,P1,B,9,d@,,
mono_B-M_left_1086,P1,B,1,tse:n,,PA
mono_B-M_left_1086,P1,B,2,bIs,,
mono_B-M_left_1086,P1,B,3,tsvan,p,
mono_B-M_left_1086,P1,B,4,tsIC,,
mono_B-M_left_1086,P1,B,5,taU,p,
mono_B-M_left_1086,P1,B,6,z@nt,,
mono_B-M_left_1086,P1,B,7,OY,,PA
mono_B-M_left_1086,P1,B,8,Ro:,,
