filename;speaker;syllno;syll;word;nsyllword;POS;stressable;phrase-pos
B-A_left_0067;B;1;da:;dafür;2;c;y;initial
B-A_left_0067;B;2;fy:6;dafür;2;c;y;initial
B-A_left_0067;B;3;ha:pt;habt;1;c;y;medial
B-A_left_0067;B;4;i:6;ihr;1;c;y;medial
B-A_left_0067;B;5;gaI;geile;2;c;y;medial
B-A_left_0067;B;6;l@;geile;2;c;n;medial
B-A_left_0067;B;7;bE6;Berge;2;c;y;final
B-A_left_0067;B;8;g@;Berge;2;c;n;final
B-A_left_0081;B;1;a:;aber;2;f;y;initial
B-A_left_0081;B;2;b6;aber;2;f;n;initial
B-A_left_0081;B;3;IC;Ich;1;f;y;medial
B-A_left_0081;B;4;ha:p;habe;2;f;y;medial
B-A_left_0081;B;5;e:6st;erst;1;c;y;medial
B-A_left_0081;B;6;nOY;neulich;2;c;y;medial
B-A_left_0081;B;7;lIC;neulich;2;c;n;medial
B-A_left_0081;B;8;b@;begriffen;3;c;n;final
B-A_left_0081;B;9;gRI;begriffen;3;c;y;final
B-A_left_0081;B;10;fn;begriffen;3;c;n;final
B-A_left_0173;B;1;o:;oder;2;f;y;initial
B-A_left_0173;B;2;d6;oder;2;f;n;initial
B-A_left_0173;B;3;di:;die;1;f;y;medial
B-A_left_0173;B;4;lOY;Leute;2;c;y;medial
B-A_left_0173;B;5;t@;Leute;2;c;n;medial
B-A_left_0173;B;6;di:;die;1;f;y;medial
B-A_left_0173;B;7;fOm;vom;1;f;y;medial
B-A_left_0173;B;8;lant;Land;1;c;y;medial
B-A_left_0173;B;9;kO;kommen;2;c;y;final
B-A_left_0173;B;10;mn;kommen;2;c;n;final
B-A_left_0309;B;1;dan;dann;1;f;y;initial
B-A_left_0309;B;2;laUf;laufe;1;c;y;medial
B-A_left_0309;B;3;dOx;doch;1;f;y;medial
B-A_left_0309;B;4;ma:;mal;1;f;y;medial
B-A_left_0309;B;5;n;in;1;f;y;medial
B-A_left_0309;B;6;aI;eine;2;f;y;medial
B-A_left_0309;B;7;n@;eine;2;f;n;medial
B-A_left_0309;B;8;RaIn;rein;1;c;y;final
B-A_left_0366;B;1;zOn;sondern;2;f;y;initial
B-A_left_0366;B;2;d6n;sondern;2;f;n;initial
B-A_left_0366;B;3;de:6;der;1;f;y;medial
B-A_left_0366;B;4;ap;Abstand;2;c;y;medial
B-A_left_0366;B;5;Stant;Abstand;2;c;n;medial
B-A_left_0366;B;6;da:;dazwischen;3;c;n;final
B-A_left_0366;B;7;tsvI;dazwischen;3;c;y;final
B-A_left_0366;B;8;S@n;dazwischen;3;c;n;final
B-M_left_0300;B;1;ha:p;habe;2;f;y;initial
B-M_left_0300;B;2;da:;da;1;f;y;medial
B-M_left_0300;B;3;jEts;jetzt;1;c;y;medial
B-M_left_0300;B;4;fi:6;vier;1;c;y;medial
B-M_left_0300;B;5;ja:;Jahre;2;c;y;medial
B-M_left_0300;B;6;R@;Jahre;2;c;n;medial
B-M_left_0300;B;7;Stu:;studiert;2;c;n;final
B-M_left_0300;B;8;di:6t;studiert;2;c;y;final
B-M_left_0355;B;1;a:;aber;2;f;y;initial
B-M_left_0355;B;2;b6;aber;2;f;n;initial
B-M_left_0355;B;3;s;es;1;f;y;medial
B-M_left_0355;B;4;lE6nt;lernt;1;c;y;medial
B-M_left_0355;B;5;zIC;sich;1;f;y;medial
B-M_left_0355;B;6;tsu:;zumindest;3;c;n;medial
B-M_left_0355;B;7;mIn;zumindest;3;c;y;medial
B-M_left_0355;B;8;d@st;zumindest;3;c;n;medial
B-M_left_0355;B;9;laICt;leicht;1;c;y;final
B-M_left_0381;B;1;Unt;und;1;f;y;initial
B-M_left_0381;B;2;di:;die;1;f;y;medial
B-M_left_0381;B;3;vI6t;wird;1;f;y;medial
B-M_left_0381;B;4;jEts;jetzt;1;c;y;medial
B-M_left_0381;B;5;nOx;noch;1;c;y;medial
B-M_left_0381;B;6;ma:l;mal;1;c;y;medial
B-M_left_0381;B;7;g@;gekürzt;2;c;n;final
B-M_left_0381;B;8;kY6tst;gekürzt;2;c;y;final
B-M_left_0404;B;1;d6;der;1;f;y;initial
B-M_left_0404;B;2;nu:6;nur;1;c;y;medial
B-M_left_0404;B;3;fOn;von;1;f;y;medial
B-M_left_0404;B;4;g@;Gemetzel;3;c;n;medial
B-M_left_0404;B;5;mE;Gemetzel;3;c;y;medial
B-M_left_0404;B;6;ts@l;Gemetzel;3;c;n;medial
B-M_left_0404;B;7;Un;und;1;f;y;medial
B-M_left_0404;B;8;Slaxt;Schlacht;1;c;y;medial
B-M_left_0404;B;9;han;handelt;2;c;y;final
B-M_left_0404;B;10;d@lt;handelt;2;c;n;final
B-M_left_0468;B;1;vi:;Video;3;c;y;initial
B-M_left_0468;B;2;de:;Video;3;c;n;initial
B-M_left_0468;B;3;o:;Video;3;c;n;initial
B-M_left_0468;B;4;aUx;auch;1;f;y;medial
B-M_left_0468;B;5;y:;überhaupt;3;f;n;medial
B-M_left_0468;B;6;b6;überhaupt;3;f;n;medial
B-M_left_0468;B;7;haUpt;überhaupt;3;f;y;medial
B-M_left_0468;B;8;nIC;nicht;1;f;y;final
B-M_left_0500;B;1;by:;Bühnentechnik;4;c;y;initial
B-M_left_0500;B;2;n;Bühnentechnik;4;c;n;initial
B-M_left_0500;B;3;tEC;Bühnentechnik;4;c;y;initial
B-M_left_0500;B;4;nIk;Bühnentechnik;4;c;n;initial
B-M_left_0500;B;5;a:;AG;2;c;n;medial
B-M_left_0500;B;6;ge:;AG;2;c;y;medial
B-M_left_0500;B;7;vas;Was;1;f;y;medial
B-M_left_0500;B;8;maxt;macht;1;c;y;medial
B-M_left_0500;B;9;man;man;1;f;y;medial
B-M_left_0500;B;10;da;da;1;f;y;final
B-M_left_0578;B;1;a;Also;2;f;y;initial
B-M_left_0578;B;2;zo:;Also;2;f;n;initial
B-M_left_0578;B;3;d@s;das;1;f;y;medial
B-M_left_0578;B;4;Is;ist;1;f;y;medial
B-M_left_0578;B;5;fi:l;viel;1;c;y;medial
B-M_left_0578;B;6;Su:;schulischer;3;c;y;final
B-M_left_0578;B;7;lI;schulischer;3;c;n;final
B-M_left_0578;B;8;S6;schulischer;3;c;n;final
B-M_left_0578;B;9;ja;Ja;1;f;y;initial
B-M_left_0608;B;1;mi:6;mir;1;f;y;medial
B-M_left_0608;B;2;va:6;war;1;f;y;medial
B-M_left_0608;B;3;d6;der;1;f;y;medial
B-M_left_0608;B;4;g@;Gedanke;3;c;n;medial
B-M_left_0608;B;5;daN;Gedanke;3;c;y;medial
B-M_left_0608;B;6;k@;Gedanke;3;c;n;medial
B-M_left_0608;B;7;zo:;so;1;c;y;medial
B-M_left_0608;B;8;vaIt;weit;1;c;y;medial
B-M_left_0608;B;9;vEk;weg;1;c;y;final
B-M_left_0783;B;1;a;Also;2;f;y;initial
B-M_left_0783;B;2;zo:;Also;2;f;n;initial
B-M_left_0783;B;3;IC;Ich;1;f;y;medial
B-M_left_0783;B;4;k9n;könnte;2;f;y;medial
B-M_left_0783;B;5;t@;könnte;2;f;n;medial
B-M_left_0783;B;6;da:;da;1;c;y;medial
B-M_left_0783;B;7;jEts;jetzt;1;c;y;medial
B-M_left_0783;B;8;nIC;nicht;1;f;y;medial
B-M_left_0783;B;9;hIn;hingehen;3;c;y;final
B-M_left_0783;B;10;ge:n;hingehen;3;c;n;final
B-M_left_0956;B;1;m;mhm;2;f;y;initial
B-M_left_0956;B;2;hm;mhm;2;f;y;initial
B-M_left_0956;B;3;RaI;reiten;2;c;y;medial
B-M_left_0956;B;4;t@n;reiten;2;c;n;medial
B-M_left_0956;B;5;ge:;generell;3;c;n;medial
B-M_left_0956;B;6;n@;generell;3;c;n;medial
B-M_left_0956;B;7;REl;generell;3;c;y;medial
B-M_left_0956;B;8;maInst;meinst;1;c;y;medial
B-M_left_0956;B;9;d@;du;1;f;y;final
B-M_left_1086;B;1;tse:n;zehn;1;c;y;initial
B-M_left_1086;B;2;bIs;bis;1;f;y;medial
B-M_left_1086;B;3;tsvan;zwanzigtausend;4;c;y;medial
B-M_left_1086;B;4;tsIC;zwanzigtausend;4;c;n;medial
B-M_left_1086;B;5;taU;zwanzigtausend;4;c;y;medial
B-M_left_1086;B;6;z@nt;zwanzigtausend;4;c;n;medial
B-M_left_1086;B;7;OY;Euro;2;c;y;final
B-M_left_1086;B;8;Ro:;Euro;2;c;n;final
